Lipid,WT_1,WT_2,WT_3,VMP1KO_1,VMP1KO_2,VMP1KO_3,TMEM41BKO_1,TMEM41BKO_2,TMEM41BKO_3
LysoPE(P-18:1) ,1064411,876864,657873,709316,455130,652222,2211214,1667726,1685604
PE(P-38:3) ,17057852,13782387,12462780,14051453,9158132,14195384,31085520,29864266,29537150
PE(P-38:3) ,8333090,6001124,5703879,3560490,1720956,3395489,12928184,8956084,13116623
PE(P-40:3) ,1531192,1609719,1464064,2102944,1290276,2510465,6027832,5239569,5846851
DG(34:2),3149172.796,2441200.429,2840715.46,2211566.797,2406030.947,2799278.9,3287374.681,4033718.007,4113217.797
DG(36:3),1801592.206,1309265.369,1559816.683,1410381.267,1433361.601,1489752.129,1776656.006,1753057.855,1677642.867
DG(34:1),12714019.55,9494708.032,9958912.836,13255304.72,11845204.4,13172542.24,15396275.5,16706980.38,16579487.25
DG(36:2),11370729.59,9008303.552,9735573.776,11069137.34,10034263.57,10992729.18,12382415.25,12186001.02,12756599.96
DG(38:3),354055.7787,228850.6408,274977.1585,200320.5801,169636.9701,235875.8277,875895.4572,942441.7049,913895.6294
DG(34:0),150148.047,114412.2583,108528.1723,125108.268,270942.1825,294471.1284,445715.118,493743.637,463290.115
Propionylcarnitine(C3:0),29622209,21342804,23817555,35495630,34171112,38631857,44468920,44170898,46040473
Isobutyrylcarnitine (C4:0),1159482,1221168,1233864,2895804,2580159,2966124,1268587,1566031,1665821
Butyrylcarnitine (C4:0),12020240,7977363,9753800,12569759,12171801,14444401,14302682,16491643,17405984
3-Hydroxybutyrylcarnitine (C4:0 OH),482159,447510,455787,267108,288923,322990,530625,632063,633258
Valerylcarnitine (C5:0),1213438,1149890,1215255,4112569,3671465,4123834,3178394,3269764,3474227
Tiglylcarnitine (C5:1),204604,170719,186805,103230,100396,110312,318325,334164,346957
Hexanoylcarnitine  (C6:0),99550,118310,116236,119826,106214,125940,220214,251023,285376
Octanoylcarnitine (C8:0),28835,33873,31351,42857,37349,47701,63330,70933,79207
Tetradecanoylcarnitine (C14:0),723851,717444,526385,2343710,2533530,2816042,2921984,2240913,2468011
Palmitoylcarnitine(C16:0),237010,99751,156384,165566,139221,165429,603142,771029,812840
"9,12-Hexadecadienoylcarnitine (C16:0 OH)",133740,85744,90230,156672,113112,133811,292513,225217,267256
9-Hexadecenoylcarnitine (C16:1),80096,42154,35547,142663,156312,166280,80759,134486,137796
Oleoylcarnitine (C18:1),1251980,915403,888983,1883358,1651760,2060707,4798604,5403548,5715741
